ID,xCoord,yCoord
1559,2846,2330
1299,2846,2083
0315,2725,3001
0924,2800,3384
1310,2846,2330
0859,3408,2800
1244,2846,2330
1643,2330,2299
1687,2070,2633
0877,3000,2372
1173a,2846,2330
0808,2586,2238
1761,2531,2249
0687,2846,2330
1465,2846,2330
0608,3408,2800
0259,2846,2330
1046,2846,2330
1836,2970,2753
0460,2846,2330
0433,2846,2330
1578,2950,2533
1731,2330,2846
1632,2935,2407
0123,2800,3408
1395,2718,2330
1101,2831,2123
1169,2846,2330
1833,2846,2330
0187,2472,2330
0385,2846,2330
1965,2846,2330
1670,2846,2330
0642,2846,2330
0811,3408,2800
0012,2846,2330
0526,2330,2846
1400,2846,2330
0699,2846,2330
1838,1948,2846
1206,3408,2800
0282,2846,2330
0688,2987,2582
1751,2800,3408
1373,2846,2154
0150,2531,2330
1753,2846,2330
1166,2577,2211
0100,2917,2372
0570,3408,2800
0706,2330,2846
1536,2846,2330
0182,2846,2330
1142,2846,2330
0851,2846,2330
0291,2372,3000
1380,2846,2330
0287,2846,2330
1174,2846,2330
0014,2846,2330
1745,3408,2800
0572,2846,2330
1959,2846,2330
0346,2048,2500
0190,2776,3408
0550,2979,3001
0455,2330,2846
1345,2846,2330
0636,2972,2981
1823,3408,2800
0064,2846,2330
1489,2995,2501
0683,2999,2776
0054,2979,2882
0149,2846,2330
0046,2846,2330
1401,2330,2846
1370,3408,2800
1978,3408,2800
0702,3001,3001
0457,2846,2330
0656,2846,2330
1791,2330,2173
1835,2846,2330
0916,2846,2330
0977,2846,2330
1889,2846,2330
1418,2846,2330
1758,2104,2330
0139,2330,2846
0645,3408,2800
0602,2846,2330
0415,2846,2012
1875,2846,2330
0049,2846,2330
1806,2846,2330
0927,2846,2330
0930,1972,3384
0024,2846,2330
0577,2535,2330
1085,2617,1997
0972,3408,2800
1366,3199,2311
0945,2846,2330
0507,2194,2400
0356,2814,2800
0357,2330,2846
0036,2800,3408
1699,2330,2846
1621,2367,3408
0502,3408,2352
0043,2800,3408
0471,3408,2800
0319,2330,2846
0599,2330,2846
1935,2846,2330
1985,2846,2330
0261,2846,2330
1500,2846,2330
1429,2846,2330
0950,2978,2488
1076,2846,2330
0323,3408,2800
0380,2978,2962
0095,2979,2890
1480,2271,2368
0925,2846,2330
0195,2048,2500
0947,2800,2989
1324,2846,2108
0260,2420,2330
0006,3408,2800
1439,2846,2330
1087,2758,2357
0686,2846,2195
0119,2846,2330
0039,2330,2846
0896,2566,2243
0031,2846,2330
0310,3408,2800
1377,2846,2330
0268,3113,2800
1713,2846,2330
0397,3239,2831
1010,2846,2330
1278,3408,2800
1058,2846,2330
1634,2978,2978
0744,2846,2330
